ean,nome,atributos_extraidos,status
7908816370061,Guarda Roupa Casal 240cm com Espelho Aline Flex A02 Off/Sálvia - Mpozenato,"{'largura': '240 cm', 'altura': '231 cm', 'profundidade': '56 cm', 'peso': '202,4 kg'}",sucesso
7908816370078,Guarda Roupa Casal 240cm com Espelho Aline Flex A02 Off/Titanium - Mpozenato,"{'largura': '240 cm', 'altura': '231 cm', 'profundidade': '56 cm', 'peso': '202,4 kg'}",sucesso
7908816370085,Guarda Roupa Casal 237cm 6 Portas Vinna A02 Cinamomo - Mpozenato,"{'largura': '237 cm', 'altura': '230 cm', 'profundidade': '52 cm', 'peso': '189,9 kg'}",sucesso
7908816370092,Guarda Roupa Casal 237cm 6 Portas Vinna A02 Off/Cinamomo - Mpozenato,"{'largura': '237 cm', 'altura': '230 cm', 'profundidade': '52 cm', 'peso': '189,9 kg'}",sucesso
7908816370108,Guarda Roupa Casal 237cm 6 Portas Vinna A02 Off/Freijó - Mpozenato,"{'largura': '237 cm', 'altura': '230 cm', 'profundidade': '52 cm', 'peso': '189,9 kg'}",sucesso
7908816370115,Guarda Roupa Casal 237cm com Espelho Vinna A02 Cinamomo - Mpozenato,"{'largura': '237 cm', 'altura': '230 cm', 'profundidade': '52 cm', 'peso': '199 kg'}",sucesso
7908816370122,Guarda Roupa Casal 237cm com Espelho Vinna A02 Off/Cinamomo - Mpozenato,"{'largura': '237 cm', 'altura': '230 cm', 'profundidade': '52 cm', 'peso': '199 kg'}",sucesso
7908816370139,Guarda Roupa Casal 237cm com Espelho Vinna A02 Off/Freijó - Mpozenato,"{'largura': '237 cm', 'altura': '230 cm', 'profundidade': '52 cm', 'peso': '199 kg'}",sucesso
7908816370146,Guarda Roupa Casal 201cm 11 Portas Thony A02 Off/Cinamomo - Mpozenato,"{'largura': '201 cm', 'altura': '230 cm', 'profundidade': '51 cm', 'peso': '160 kg'}",sucesso
7908816370153,Guarda Roupa Casal 201cm 11 Portas Thony A02 Cinamomo - Mpozenato,"{'largura': '201 cm', 'altura': '230 cm', 'profundidade': '51 cm', 'peso': '160 kg'}",sucesso
7908816370795,Guarda Roupa Casal 200cm 6 Portas Viny A02 Off/Cinamomo - Mpozenato,"{'largura': '200 cm', 'altura': '218 cm', 'profundidade': '47 cm', 'peso': '115,5 kg'}",sucesso
7908816370160,Guarda Roupa Casal 200cm 6 Portas Viny A02 Cinamomo - Mpozenato,"{'largura': '200 cm', 'altura': '218 cm', 'profundidade': '47 cm', 'peso': '115,5 kg'}",sucesso
7908816370177,Guarda Roupa Casal 200cm com Espelho Viny A02 Off/Cinamomo - Mpozenato,"{'largura': '200 cm', 'altura': '218 cm', 'profundidade': '47 cm', 'peso': '120 kg'}",sucesso
7908816370184,Guarda Roupa Casal 200cm com Espelho Viny A02 Cinamomo - Mpozenato,"{'largura': '200 cm', 'altura': '218 cm', 'profundidade': '47 cm', 'peso': '120 kg'}",sucesso
7908816370191,Guarda Roupa Solteiro 160cm Rizatto Flex A02 Off/Cinamomo - Mpozenato,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '54 cm', 'peso': '118,3 kg'}",sucesso
7908816370207,Guarda Roupa Solteiro 160cm Rizatto Flex A02 Off/Titanium - Mpozenato,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '54 cm', 'peso': '118,3 kg'}",sucesso
7908816370214,Guarda Roupa Solteiro com Espelho Rizatto Flex A02 Off/Cinamomo - Mpozenato,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '54 cm', 'peso': '128,8 kg'}",sucesso
7908816370221,Guarda Roupa Solteiro com Espelho Rizatto Flex A02 Off/Titanium - Mpozenato,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '54 cm', 'peso': '128,8 kg'}",sucesso
7908141233215,Guarda Roupa Solteiro 160cm 4 Portas Doble Cinamomo/Off - Albatroz,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '102,5 kg'}",sucesso
7908141225906,Guarda Roupa Solteiro 160cm 4 Portas Doble Branco - Albatroz,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '102,5 kg'}",sucesso
7908141236520,Guarda Roupa Solteiro 160cm 4 Portas Doble Off/Freijó - Albatroz,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '102,5 kg'}",sucesso
7908141236476,Guarda Roupa Solteiro 160cm 4 Portas Doble Freijó/Titanium - Albatroz,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '102,5 kg'}",sucesso
7908141236469,Guarda Roupa Solteiro 160cm com Espelho Doble Cinamomo/Off - Albatroz,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '102,5 kg'}",sucesso
7908141226064,Guarda Roupa Solteiro 160cm com Espelho Doble Branco - Albatroz,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '102,5 kg'}",sucesso
7908141236568,Guarda Roupa Solteiro 160cm com Espelho Doble Off/Freijó - Albatroz,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '102,5 kg'}",sucesso
7908141236513,Guarda Roupa Solteiro 160cm com Espelho Doble Freijó/Titanium - Albatroz,"{'largura': '160 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '102,5 kg'}",sucesso
7908816370238,Guarda Roupa Solteiro 163cm Capelinha Artto A02 Off/Cinamomo - Mpozenato,"{'largura': '163 cm', 'altura': '200 cm', 'profundidade': '47 cm', 'peso': '87,8 kg'}",sucesso
7908816370245,Guarda Roupa Solteiro 163cm Capelinha Artto A02 Cinamomo/Sálvia - Mpozenato,"{'largura': '163 cm', 'altura': '200 cm', 'profundidade': '47 cm', 'peso': '87,8 kg'}",sucesso
7908816370252,Guarda Roupa Solteiro 163cm Capelinha Artto A02 Off/Freijó - Mpozenato,"{'largura': '163 cm', 'altura': '200 cm', 'profundidade': '47 cm', 'peso': '87,8 kg'}",sucesso
7908816370269,Guarda Roupa Solteiro 103cm 4 Portas Dony A02 Off/Cinamomo - Mpozenato,"{'largura': '103 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '51 kg'}",sucesso
7908816370276,Guarda Roupa Solteiro 103cm 4 Portas Dony A02 Cinamomo - Mpozenato,"{'largura': '103 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '51 kg'}",sucesso
7908816370283,Guarda Roupa Solteiro 103cm 4 Portas Dony A02 Freijó/Titanium - Mpozenato,"{'largura': '103 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '51 kg'}",sucesso
7908816370290,Guarda Roupa Solteiro 103cm 4 Portas Dony Flex A02 Branco - Mpozenato,"{'largura': '103 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '51 kg'}",sucesso
7908816370306,Guarda Roupa Solteiro 103cm com Espelho Dony A02 Off/Cinamomo - Mpozenato,"{'largura': '103 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '53,8 kg'}",sucesso
7908816370313,Guarda Roupa Solteiro 103cm com Espelho Dony A02 Cinamomo - Mpozenato,"{'largura': '103 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '53,8 kg'}",sucesso
7908816370320,Guarda Roupa Solteiro 103cm com Espelho Dony A02 Freijó/Titanium - Mpozenato,"{'largura': '103 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '53,8 kg'}",sucesso
7908816370337,Guarda Roupa Solteiro 103cm com Espelho Dony Flex A02 Branco - Mpozenato,"{'largura': '103 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '53,8 kg'}",sucesso
7908816370344,Guarda Roupa Solteiro 154cm 6 Portas Dony A02 Off/Cinamomo - Mpozenato,"{'largura': '154 cm', 'altura': '189 cm', 'profundidade': '47 cm', 'peso': '73,1 kg'}",sucesso
